CODE,EOU1,EOU2,EOU3,EOU4,PU1,PU2,PU3,PU4,FC1,FC2,FC3,FC4,CC1,CC2,CC3,CC4,CD1,CD2,CD3,CD4,LC1,LC2,LC3,LC4,SP1,SP2,SP3,SP4,Gender,Year of school
188,3,4,4,4,3,3,4,4,4,3,4,4,3,4,3,3,3,3,4,3,4,4,3,4,3,3,3,3,Female,First year
189,3,2,3,3,3,3,4,4,3,2,3,3,3,3,3,3,4,3,4,4,5,3,3,5,3,3,3,4,Male,First year
190,3,4,4,4,2,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,2,Male,First year
191,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,4,Male,Third year
192,3,3,3,2,3,4,4,4,3,2,3,3,3,3,4,3,2,3,3,2,4,5,4,4,4,4,4,4,Male,Fourth year
193,3,3,4,3,3,4,3,4,5,5,5,5,3,3,3,3,4,4,3,4,3,3,3,3,4,4,3,4,Male,Fourth year
194,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,4,4,4,4,4,3,4,4,3,3,3,4,Female,Second year
195,4,4,4,4,2,2,2,2,3,3,3,3,3,2,3,3,2,3,2,2,1,3,3,1,2,2,3,3,Male,Third year
196,2,2,2,2,2,2,2,3,4,2,3,4,2,2,3,2,4,5,4,4,3,2,2,3,2,2,2,3,Female,Fourth year
197,3,3,4,3,2,2,2,2,2,2,2,3,3,3,4,3,2,3,3,3,3,2,2,3,2,3,3,3,Male,Second year
198,3,3,4,4,3,4,4,4,5,4,5,4,5,5,4,4,4,3,3,4,5,5,5,5,5,4,5,5,Male,Fourth year
199,4,4,3,3,2,3,3,4,3,2,2,2,3,3,3,3,2,4,4,4,3,2,3,3,3,3,3,3,Male,Fourth year
200,3,3,4,3,2,2,2,3,3,3,3,4,4,4,4,3,3,2,3,3,2,2,3,2,3,3,3,3,Female,Third year
201,4,4,4,3,3,3,4,4,5,3,4,4,4,5,5,4,4,4,3,4,4,4,3,4,4,4,3,4,Female,Third year
202,4,3,3,3,3,4,4,4,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,4,4,Male,Third year
203,4,4,5,4,3,3,3,4,4,4,4,4,4,3,3,4,4,4,5,4,4,3,4,4,4,5,5,4,Female,Second year
204,3,4,3,3,3,3,3,3,3,3,3,3,5,4,3,4,4,3,4,4,3,3,4,4,3,4,3,3,Male,Third year
205,4,3,3,3,2,3,3,3,3,2,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,4,3,3,Female,Third year
206,3,3,3,3,3,3,3,3,3,2,3,2,3,4,4,4,3,3,3,3,3,2,2,2,3,3,4,3,Female,Second year
207,3,3,3,4,1,1,3,2,4,3,4,4,2,3,3,3,1,2,1,1,3,3,3,3,3,2,3,2,Female,Second year
208,3,3,3,3,4,3,4,4,1,2,2,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,Male,Fourth year
209,2,3,3,3,3,3,4,3,4,2,3,3,2,3,3,3,2,3,2,2,3,2,3,3,3,3,3,3,Female,Fourth year
210,4,4,3,4,2,2,3,3,3,3,3,3,3,3,3,3,4,5,4,4,2,2,3,3,3,3,2,3,Male,Second year
211,3,2,2,2,3,3,3,3,4,3,3,4,4,3,3,3,4,4,3,4,3,3,3,3,4,3,4,4,Female,Third year
212,3,3,4,2,2,2,3,3,3,3,3,3,2,2,3,3,4,4,5,4,3,3,4,4,3,3,3,3,Female,First year
213,3,3,3,2,3,3,4,4,4,3,3,3,4,3,3,2,4,3,3,4,3,3,3,3,3,2,3,4,Male,Third year
214,5,5,4,5,3,4,4,4,4,3,5,3,4,2,3,3,4,4,3,4,4,5,4,4,4,4,4,4,Male,Fourth year
215,2,3,3,3,3,3,4,4,4,3,4,4,4,4,3,3,3,4,4,3,4,5,4,4,3,4,3,3,Female,Third year
216,2,2,2,1,2,2,3,3,4,2,3,4,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,Female,Third year
217,2,3,3,2,3,2,3,3,4,3,3,3,4,3,4,4,3,2,3,3,3,4,3,3,2,3,3,3,Female,Third year
218,3,3,3,4,2,3,3,3,3,2,3,2,4,3,4,3,2,4,4,5,2,2,3,3,2,3,3,2,Male,Fourth year
219,3,3,3,3,2,3,3,3,2,2,2,3,3,2,3,3,4,3,3,4,2,2,2,2,2,2,3,2,Female,Second year
220,4,3,4,3,3,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,Male,Third year
221,4,4,5,4,3,4,4,4,4,3,4,4,3,4,4,4,3,3,4,3,3,4,3,3,3,3,4,4,Male,Second year
222,3,4,3,3,4,3,4,3,3,2,3,3,4,4,3,4,2,2,2,2,3,3,4,4,3,2,3,2,Female,Fourth year
223,2,3,2,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,2,2,3,2,2,2,3,3,3,Female,First year
224,3,3,3,3,2,2,3,2,5,4,3,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,Female,Third year
225,3,4,3,3,3,2,3,3,3,2,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,4,Male,First year
226,4,4,3,4,2,3,4,4,3,2,3,3,3,3,4,3,4,3,4,4,4,4,4,4,3,4,4,3,Male,Fourth year
227,4,4,3,4,4,3,3,4,3,2,3,3,2,3,3,3,2,2,3,2,3,3,3,3,4,4,3,2,Female,First year
228,3,4,4,4,3,3,3,3,4,4,4,5,4,4,5,4,3,3,4,3,4,4,5,5,4,4,4,3,Female,Third year
229,3,1,2,3,2,3,3,3,3,2,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,Female,Second year
230,3,2,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,4,3,3,Female,First year
231,4,4,3,4,3,3,3,4,5,3,4,4,4,4,4,3,2,2,2,2,3,4,4,4,3,4,4,3,Male,First year
232,3,3,3,4,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,2,Male,First year
233,3,2,3,3,2,1,3,2,3,3,4,4,3,3,2,2,3,4,3,3,1,2,2,2,1,2,2,2,Male,Second year
234,5,5,4,4,3,2,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,Male,Second year
235,3,3,3,2,3,3,3,4,3,2,3,3,3,4,4,3,5,4,4,3,3,4,3,3,3,4,3,4,Female,Fourth year
236,3,4,4,3,3,3,3,3,5,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,3,Female,Third year
237,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,4,Female,Second year
238,4,4,4,4,2,4,4,4,4,3,4,5,4,4,4,4,4,3,4,4,5,5,5,5,4,4,5,4,Female,Third year
239,3,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,3,2,2,1,2,Female,Fourth year
240,3,4,3,4,2,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,Female,First year
241,3,4,3,3,3,3,3,4,3,2,2,3,2,3,2,2,4,4,3,4,4,4,4,4,4,4,5,3,Male,First year
242,3,5,4,4,3,2,3,4,3,2,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,5,3,4,Female,Second year
243,4,3,4,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,2,Female,Third year
244,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,Female,Third year
245,2,3,2,3,3,3,4,4,3,3,3,3,3,3,3,2,4,4,3,2,2,3,2,2,2,2,3,3,Male,Second year
246,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,4,Female,First year
247,3,3,3,2,2,2,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,Female,Third year
248,3,3,3,3,2,3,3,4,3,3,3,4,4,3,3,3,5,3,4,2,3,4,3,3,4,3,4,4,Male,Fourth year
249,4,4,4,4,3,2,3,2,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,Female,Second year
250,4,4,4,4,4,4,5,4,5,3,5,3,4,4,3,4,4,4,4,4,5,5,5,5,3,4,4,4,Female,Third year
251,3,2,2,3,2,3,3,2,2,2,3,3,3,4,3,3,4,5,4,4,3,2,3,3,3,2,3,3,Male,Fourth year
252,3,3,3,4,2,3,4,4,3,3,4,4,3,2,2,2,3,4,4,3,3,3,4,3,3,4,3,3,Male,Fourth year
253,2,2,2,3,3,2,3,3,1,2,2,2,4,3,4,3,4,4,4,4,2,3,2,2,3,3,3,4,Female,Fourth year
254,4,3,3,3,2,3,3,2,4,3,3,4,3,4,4,3,3,4,3,3,4,3,4,4,3,3,3,3,Male,Third year
255,4,3,3,4,2,2,3,3,3,3,3,3,3,2,2,2,3,4,4,3,4,3,3,4,3,3,4,3,Female,Second year
256,3,2,3,3,3,3,3,4,3,3,3,3,2,2,3,2,3,3,3,3,4,3,3,4,3,3,3,2,Male,Third year
257,2,3,3,3,4,3,3,3,2,1,2,3,3,4,3,2,3,3,4,3,4,3,3,4,2,2,2,3,Female,Second year
258,4,5,4,4,3,2,4,4,3,3,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,Male,Second year
259,2,3,3,3,3,3,4,4,4,3,3,4,2,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,Female,Fourth year
260,4,4,3,3,3,3,4,3,3,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,3,Female,Third year
261,4,4,3,4,3,3,3,3,4,4,4,4,3,3,2,2,3,4,3,3,4,4,4,4,3,3,3,3,Female,Fourth year
262,3,3,4,4,3,3,4,4,2,1,1,2,3,4,4,3,4,3,3,4,3,4,4,3,4,4,3,3,Male,First year
263,4,4,3,3,4,4,5,4,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,Male,Second year
264,4,3,4,4,3,3,4,4,3,3,3,4,4,4,4,3,4,4,4,4,5,4,4,5,5,4,4,3,Female,Second year
265,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,Male,First year
266,4,3,3,3,4,4,5,5,4,3,3,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,Female,Fourth year
267,5,4,4,4,2,3,3,3,3,2,3,4,3,3,3,3,4,4,4,4,3,4,4,3,4,3,3,4,Female,Fourth year
268,3,2,3,3,3,3,3,4,3,3,3,3,3,4,2,4,3,3,4,3,3,3,3,3,3,2,3,4,Female,First year
269,5,4,3,5,3,3,3,4,5,4,5,4,3,4,3,5,4,4,4,4,3,3,4,3,4,3,4,4,Female,Second year
270,3,3,3,3,2,3,3,3,4,2,3,3,4,4,3,4,4,3,4,4,2,3,2,2,4,4,4,3,Female,Second year
271,3,3,3,3,3,2,3,3,4,4,4,4,4,4,4,4,2,4,4,4,5,4,5,5,4,3,4,5,Female,Third year
272,4,4,3,5,3,4,5,4,4,3,3,3,4,3,4,3,4,4,4,4,4,3,3,4,4,5,4,4,Male,First year
273,3,4,4,4,3,3,4,4,4,3,4,4,3,4,3,3,3,3,4,3,4,4,3,4,3,3,3,3,Male,First year
274,3,2,3,3,3,3,4,4,3,2,3,3,3,3,3,3,4,3,4,4,5,3,3,5,3,3,3,4,Male,First year
275,3,4,4,4,2,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,2,Female,Third year
276,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,4,Female,Fourth year
277,3,3,3,2,3,4,4,4,3,2,3,3,3,3,4,3,2,3,3,2,4,5,4,4,4,4,4,4,Female,Second year
278,3,3,4,3,3,4,3,4,5,5,5,5,3,3,3,3,4,4,3,4,3,3,3,3,4,4,3,4,Female,Fourth year
279,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,4,4,4,4,4,3,4,4,3,3,3,4,Male,Third year
280,4,4,4,4,2,2,2,2,3,3,3,3,3,2,3,3,2,3,2,2,1,3,3,1,2,2,3,3,Male,Fourth year
281,2,2,2,2,2,2,2,3,4,2,3,4,2,2,3,2,4,5,4,4,3,2,2,3,2,2,2,3,Female,Third year
282,3,3,4,3,2,2,2,2,2,2,2,3,3,3,4,3,2,3,3,3,3,2,2,3,2,3,3,3,Female,Fourth year
283,3,3,4,4,3,4,4,4,5,4,5,4,5,5,4,4,4,3,3,4,5,5,5,5,5,4,5,5,Female,Third year
284,4,4,3,3,2,3,3,4,3,2,2,2,3,3,3,3,2,4,4,4,3,2,3,3,3,3,3,3,Male,Fourth year
285,3,3,4,3,2,2,2,3,3,3,3,4,4,4,4,3,3,2,3,3,2,2,3,2,3,3,3,3,Female,First year
286,4,4,4,3,3,3,4,4,5,3,4,4,4,5,5,4,4,4,3,4,4,4,3,4,4,4,3,4,Male,Third year
